gbifID	type	format	identifier	references	title	description	source	audience	created	creator	contributor	publisher	license	rightsHolder
3912252381	StillImage	image/png	https://inaturalist-open-data.s3.amazonaws.com/photos/230453482/original.png	https://www.inaturalist.org/photos/230453482					2022-08-17T17:20:00Z	Luis David Pérez Gracida		iNaturalist	http://creativecommons.org/licenses/by-nc/4.0/	Luis David Pérez Gracida
3912219424	StillImage	image/png	https://inaturalist-open-data.s3.amazonaws.com/photos/230453163/original.png	https://www.inaturalist.org/photos/230453163					2022-08-12T17:18:00Z	Luis David Pérez Gracida		iNaturalist	http://creativecommons.org/licenses/by-nc/4.0/	Luis David Pérez Gracida
3903657417	StillImage	image/jpeg	https://inaturalist-open-data.s3.amazonaws.com/photos/229450103/original.jpeg	https://www.inaturalist.org/photos/229450103					2022-06-26T17:26:00Z	proyectojaguar		iNaturalist	http://creativecommons.org/licenses/by-nc/4.0/	proyectojaguar
3903175018	StillImage	image/png	https://inaturalist-open-data.s3.amazonaws.com/photos/224553615/original.png	https://www.inaturalist.org/photos/224553615					2022-03-04T18:42:00Z	Luis David Pérez Gracida		iNaturalist	http://creativecommons.org/licenses/by-nc/4.0/	Luis David Pérez Gracida
3902845406	StillImage	image/png	https://inaturalist-open-data.s3.amazonaws.com/photos/224541549/original.png	https://www.inaturalist.org/photos/224541549					2022-08-17T16:46:00Z	Luis David Pérez Gracida		iNaturalist	http://creativecommons.org/licenses/by-nc/4.0/	Luis David Pérez Gracida
3902734324	StillImage	image/png	https://inaturalist-open-data.s3.amazonaws.com/photos/224625769/original.png	https://www.inaturalist.org/photos/224625769					2022-05-30T23:19:00Z	Luis David Pérez Gracida		iNaturalist	http://creativecommons.org/licenses/by-nc/4.0/	Luis David Pérez Gracida
3902676030	StillImage	image/png	https://inaturalist-open-data.s3.amazonaws.com/photos/224594876/original.png	https://www.inaturalist.org/photos/224594876					2022-04-21T20:49:00Z	Luis David Pérez Gracida		iNaturalist	http://creativecommons.org/licenses/by-nc/4.0/	Luis David Pérez Gracida
3902426045	StillImage	image/png	https://inaturalist-open-data.s3.amazonaws.com/photos/224624673/original.png	https://www.inaturalist.org/photos/224624673					2022-06-01T23:13:00Z	Luis David Pérez Gracida		iNaturalist	http://creativecommons.org/licenses/by-nc/4.0/	Luis David Pérez Gracida
3902319770	StillImage	image/jpeg	https://inaturalist-open-data.s3.amazonaws.com/photos/224624993/original.jpeg	https://www.inaturalist.org/photos/224624993					2022-05-30T01:50:55Z	Luis David Pérez Gracida		iNaturalist	http://creativecommons.org/licenses/by-nc/4.0/	Luis David Pérez Gracida
3892555736	StillImage	image/jpeg	https://inaturalist-open-data.s3.amazonaws.com/photos/221758567/original.jpg	https://www.inaturalist.org/photos/221758567					2021-11-06T18:28:11Z	Luis David Pérez Gracida		iNaturalist	http://creativecommons.org/licenses/by-nc/4.0/	Luis David Pérez Gracida
3888951313	StillImage	image/jpeg	https://inaturalist-open-data.s3.amazonaws.com/photos/221211323/original.jpeg	https://www.inaturalist.org/photos/221211323					2022-08-08T01:40:58Z	CarinaCR		iNaturalist	http://creativecommons.org/licenses/by-nc/4.0/	CarinaCR
3888951313	StillImage	image/jpeg	https://inaturalist-open-data.s3.amazonaws.com/photos/221211174/original.jpeg	https://www.inaturalist.org/photos/221211174					2022-08-08T01:40:34Z	CarinaCR		iNaturalist	http://creativecommons.org/licenses/by-nc/4.0/	CarinaCR
