gbifID	accessRights	bibliographicCitation	language	license	modified	publisher	references	rightsHolder	type	institutionID	collectionID	datasetID	institutionCode	collectionCode	datasetName	ownerInstitutionCode	basisOfRecord	informationWithheld	dataGeneralizations	dynamicProperties	occurrenceID	catalogNumber	recordNumber	recordedBy	recordedByID	individualCount	organismQuantity	organismQuantityType	sex	lifeStage	reproductiveCondition	caste	behavior	vitality	establishmentMeans	degreeOfEstablishment	pathway	georeferenceVerificationStatus	occurrenceStatus	preparations	disposition	associatedOccurrences	associatedReferences	associatedSequences	associatedTaxa	otherCatalogNumbers	occurrenceRemarks	organismID	organismName	organismScope	associatedOrganisms	previousIdentifications	organismRemarks	materialEntityID	materialEntityRemarks	verbatimLabel	materialSampleID	eventID	parentEventID	eventType	fieldNumber	eventDate	eventTime	startDayOfYear	endDayOfYear	year	month	day	verbatimEventDate	habitat	samplingProtocol	sampleSizeValue	sampleSizeUnit	samplingEffort	fieldNotes	eventRemarks	locationID	higherGeographyID	higherGeography	continent	waterBody	islandGroup	island	countryCode	stateProvince	county	municipality	locality	verbatimLocality	verbatimElevation	verticalDatum	verbatimDepth	minimumDistanceAboveSurfaceInMeters	maximumDistanceAboveSurfaceInMeters	locationAccordingTo	locationRemarks	decimalLatitude	decimalLongitude	coordinateUncertaintyInMeters	coordinatePrecision	pointRadiusSpatialFit	verbatimCoordinateSystem	verbatimSRS	footprintWKT	footprintSRS	footprintSpatialFit	georeferencedBy	georeferencedDate	georeferenceProtocol	georeferenceSources	georeferenceRemarks	geologicalContextID	earliestEonOrLowestEonothem	latestEonOrHighestEonothem	earliestEraOrLowestErathem	latestEraOrHighestErathem	earliestPeriodOrLowestSystem	latestPeriodOrHighestSystem	earliestEpochOrLowestSeries	latestEpochOrHighestSeries	earliestAgeOrLowestStage	latestAgeOrHighestStage	lowestBiostratigraphicZone	highestBiostratigraphicZone	lithostratigraphicTerms	group	formation	member	bed	identificationID	verbatimIdentification	identificationQualifier	typeStatus	identifiedBy	identifiedByID	dateIdentified	identificationReferences	identificationVerificationStatus	identificationRemarks	taxonID	scientificNameID	acceptedNameUsageID	parentNameUsageID	originalNameUsageID	nameAccordingToID	namePublishedInID	taxonConceptID	scientificName	acceptedNameUsage	parentNameUsage	originalNameUsage	nameAccordingTo	namePublishedIn	namePublishedInYear	higherClassification	kingdom	phylum	class	order	superfamily	family	subfamily	tribe	subtribe	genus	genericName	subgenus	infragenericEpithet	specificEpithet	infraspecificEpithet	cultivarEpithet	taxonRank	verbatimTaxonRank	vernacularName	nomenclaturalCode	taxonomicStatus	nomenclaturalStatus	taxonRemarks	datasetKey	publishingCountry	lastInterpreted	elevation	elevationAccuracy	depth	depthAccuracy	distanceFromCentroidInMeters	issue	taxonomicIssue	nonTaxonomicIssue	mediaType	hasCoordinate	hasGeospatialIssues	taxonKey	acceptedTaxonKey	kingdomKey	phylumKey	classKey	orderKey	familyKey	genusKey	subgenusKey	speciesKey	species	acceptedScientificName	verbatimScientificName	typifiedName	protocol	lastParsed	lastCrawled	isInvasive	repatriated	relativeOrganismQuantity	projectId	isSequenced	gbifRegion	publishedByGbifRegion	level0Gid	level0Name	level1Gid	level1Name	level2Gid	level2Name	level3Gid	level3Name	iucnRedListCategory
896307451	http://arctosdb.org/home/data/		en	CC0_1_0	2025-08-08T01:56:00.055Z				PhysicalObject	MLZ	https://arctos.database.museum/collection/MLZ:Mamm		MLZ	Mammalogy			PRESERVED_SPECIMEN			"[{""attribute_date"": ""1937-05-22"", ""attribute_type"": ""sex"", ""attribute_units"": null, ""attribute_value"": ""male"", ""attribute_method"": null, ""attribute_remark"": null, ""attribute_determiner"": ""Chester C. Lamb""}]"	https://arctos.database.museum/guid/MLZ:Mamm:951	MLZ:Mamm:951	24123	Collector(s): Chester C. Lamb					Male										PRESENT	skin; skull						collector number 24123;Moore Laboratory of Zoology identifier M-U'350	FLAT SKIN AND SKULL					"[{""idby"": ""Chester C. Lamb"", ""made_date"": null, ""concept_label"": null, ""short_citation"": null, ""scientific_name"": ""Lutra longicaudis"", ""sensu_publication"": null, ""identification_taxa"": [{""taxon"": {""ftn"": ""Animalia, Chordata, Mammalia, Carnivora, Caniformia, Mustelidae, Lutrinae, Lutra, Lutra longicaudis"", ""name"": ""Lutra longicaudis"", ""ctrms"": [{""psn"": 1, ""typ"": ""kingdom"", ""term"": ""Animalia""}, {""psn"": 2, ""typ"": ""phylum"", ""term"": ""Chordata""}, {""psn"": 3, ""typ"": ""class"", ""term"": ""Mammalia""}, {""psn"": 4, ""typ"": ""order"", ""term"": ""Carnivora""}, {""psn"": 5, ""typ"": ""suborder"", ""term"": ""Caniformia""}, {""psn"": 6, ""typ"": ""family"", ""term"": ""Mustelidae""}, {""psn"": 7, ""typ"": ""subfamily"", ""term"": ""Lutrinae""}, {""psn"": 8, ""typ"": ""genus"", ""term"": ""Lutra""}, {""psn"": 9, ""typ"": ""species"", ""term"": ""Lutra longicaudis""}], ""nctrms"": [{""typ"": ""display_name"", ""term"": ""<i>Lutra longicaudis</i>""}, {""typ"": ""nomenclatural_code"", ""term"": ""ICZN""}, {""typ"": ""scientific_name"", ""term"": ""Lutra longicaudis""}, {""typ"": ""source_authority"", ""term"": ""Museum of Southwestern Biology""}, {""typ"": ""taxon_status"", ""term"": ""valid""}], ""source"": ""Arctos"", ""classification_id"": ""https://arctos.database.museum/name/Lutra longicaudis#Arctos""}, ""taxon_id"": ""https://arctos.database.museum/name/Lutra longicaudis"", ""variable"": ""A""}], ""identification_order"": 1, ""identification_agents"": [{""agent_name"": ""Chester C. Lamb"", ""agent_identifier"": ""https://arctos.database.museum/agent/10001363"", ""identifier_order"": 1}], ""identification_remarks"": ""Former nature_of_id: legacy."", ""identification_attributes"": null}]"										1937-05-22	1937-05-22	142	142	1937	5	22	22 MAY 1937										Mexico, Chihuahua	NORTH_AMERICA				MX	Chihuahua			E slope Cerro Mohinora, near Guadalupe y Calvo, Imperial Valley	MT MOHINORA: E SIDE						unknown		25.932421	-106.998425	3836.0								unknown	2012-07-08 00:00:00	GeoLocate	GeoLocate																								Chester C. Lamb					Former nature_of_id: legacy.									Lutra longicaudis Olfers, 1818							Animalia, Chordata, Mammalia, Carnivora, Caniformia, Mustelidae, Lutrinae, Lutra, Lutra longicaudis	Animalia	Chordata	Mammalia	Carnivora		Mustelidae				Lontra	Lutra			longicaudis			SPECIES				SYNONYM			226b536c-25f9-4f6b-b144-edcbdffa3566	US	2025-11-05T04:07:03.265Z	2788.5	350.5				CONTINENT_DERIVED_FROM_COORDINATES;INSTITUTION_MATCH_FUZZY;INSTITUTION_COLLECTION_MISMATCH				true	false	4970000	7193952	1	44	359	732	5307	2433726		2433738	Lontra longicaudis	Lontra longicaudis longicaudis (Olfers, 1818)	Lutra longicaudis		EML	2025-11-05T04:07:03.265Z	2025-11-03T08:37:30.243Z		true			false	LATIN_AMERICA	NORTH_AMERICA	MEX	México	MEX.6_1	Chihuahua	MEX.6.28_2	Guadalupe y Calvo			
891774917				CC_BY_4_0	2025-07-31T04:10:19Z		https://www.inaturalist.org/observations/482969	Luis Morales					iNaturalist	Observations	iNaturalist research-grade observations		HUMAN_OBSERVATION				http://conabio.inaturalist.org/observations/482969	482969		Luis Morales															PRESENT																							2013-12-12		346	346	2013	12	12	2013-12-12											NORTH_AMERICA				MX	Nayarit				San Francisco (San Pancho) Nayarit								20.899771	-105.416243	124.0																															673990489				Luis Morales		2025-07-31T03:49:05				1596108								Lontra Gray, 1843								Animalia	Chordata	Mammalia	Carnivora		Mustelidae				Lontra							GENUS				ACCEPTED			50c9509d-22c7-4a22-a47d-8c48425ef4a7	US	2025-12-10T17:39:01.269Z						CONTINENT_DERIVED_FROM_COORDINATES;TAXON_MATCH_HIGHERRANK;TAXON_ID_NOT_FOUND				true	false	2433726	2433726	1	44	359	732	5307	2433726				Lontra Gray, 1843	Lontra annectens		DWC_ARCHIVE	2025-12-10T17:39:01.269Z	2025-12-10T07:19:05.196Z		true		https://www.inaturalist.org/projects/mamiferos-silvestres-de-mexico	false	LATIN_AMERICA	NORTH_AMERICA	MEX	México	MEX.18_1	Nayarit	MEX.18.4_2	Bahía de Banderas			
891773802				CC_BY_4_0	2025-07-31T03:56:13Z		https://www.inaturalist.org/observations/480716	Luis Morales					iNaturalist	Observations	iNaturalist research-grade observations		HUMAN_OBSERVATION				http://conabio.inaturalist.org/observations/480716	480716		Luis Morales															PRESENT								Un ejemplar visto alimentándose y muy curioso. Se acercó bastante a la orilla del estero a observar a un grupo que estabamos observando aves.															2013-12-12		346	346	2013	12	12	2013-12-12											NORTH_AMERICA				MX	Nayarit				Nayarit, MX								20.900598	-105.41612																																673990481				Luis Morales		2025-07-31T03:49:04				1596108								Lontra Gray, 1843								Animalia	Chordata	Mammalia	Carnivora		Mustelidae				Lontra							GENUS				ACCEPTED			50c9509d-22c7-4a22-a47d-8c48425ef4a7	US	2025-12-10T20:52:59.889Z						CONTINENT_DERIVED_FROM_COORDINATES;TAXON_MATCH_HIGHERRANK;TAXON_ID_NOT_FOUND				true	false	2433726	2433726	1	44	359	732	5307	2433726				Lontra Gray, 1843	Lontra annectens		DWC_ARCHIVE	2025-12-10T20:52:59.889Z	2025-12-10T07:19:05.196Z		true		https://www.inaturalist.org/projects/mamiferos-silvestres-de-mexico	false	LATIN_AMERICA	NORTH_AMERICA	MEX	México	MEX.18_1	Nayarit	MEX.18.4_2	Bahía de Banderas			
891734815				CC_BY_NC_4_0	2025-07-31T03:56:01Z		https://www.inaturalist.org/observations/384045	Andrea Cantú					iNaturalist	Observations	iNaturalist research-grade observations		HUMAN_OBSERVATION				http://conabio.inaturalist.org/observations/384045	384045		Andrea Cantú															PRESENT																							2012-09-14		258	258	2012	9	14	2012-09-14											NORTH_AMERICA				MX	Veracruz				minatitlan, veracruz								17.988963	-94.54697	6448.0																															673990462				Juan Cruzado Cortés		2025-07-31T03:49:01				1596108								Lontra Gray, 1843								Animalia	Chordata	Mammalia	Carnivora		Mustelidae				Lontra							GENUS				ACCEPTED			50c9509d-22c7-4a22-a47d-8c48425ef4a7	MX	2025-12-10T19:24:13.601Z						CONTINENT_DERIVED_FROM_COORDINATES;TAXON_MATCH_HIGHERRANK;TAXON_ID_NOT_FOUND			StillImage	true	false	2433726	2433726	1	44	359	732	5307	2433726				Lontra Gray, 1843	Lontra annectens		DWC_ARCHIVE	2025-12-10T19:24:13.601Z	2025-12-10T07:19:05.196Z		false		https://www.inaturalist.org/projects/nutria-neotropical;https://www.inaturalist.org/projects/mamiferos-silvestres-de-mexico;https://www.inaturalist.org/projects/procer-especies-prioritarias-pace;https://www.inaturalist.org/projects/corredor-jatusa	false	LATIN_AMERICA	LATIN_AMERICA	MEX	México	MEX.30_1	Veracruz	MEX.30.113_2	Minatitlán			
891028599				CC_BY_NC_4_0	2025-07-31T03:55:50Z		https://www.inaturalist.org/observations/424295	Biodiverso					iNaturalist	Observations	iNaturalist research-grade observations		HUMAN_OBSERVATION	Coordinate uncertainty increased to 30472m at the request of the observer			http://conabio.inaturalist.org/observations/424295	424295		Biodiverso															PRESENT																							2013-06-24		175	175	2013	6	24	2013-06-24											NORTH_AMERICA				MX	Jalisco				Jalisco, MX								20.407144	-103.898708	30472.0																															673990061				Biodiverso		2025-07-31T03:47:43				1596108								Lontra Gray, 1843								Animalia	Chordata	Mammalia	Carnivora		Mustelidae				Lontra							GENUS				ACCEPTED			50c9509d-22c7-4a22-a47d-8c48425ef4a7	MX	2025-12-10T20:52:34.200Z						COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES;TAXON_MATCH_HIGHERRANK;TAXON_ID_NOT_FOUND			StillImage	true	false	2433726	2433726	1	44	359	732	5307	2433726				Lontra Gray, 1843	Lontra annectens		DWC_ARCHIVE	2025-12-10T20:52:34.200Z	2025-12-10T07:19:05.196Z		false		https://www.inaturalist.org/projects/ficha-de-biodiversidad-del-estado-de-jalisco;https://www.inaturalist.org/projects/cites-en-mexico;https://www.inaturalist.org/projects/mamiferos-silvestres-de-mexico;https://www.inaturalist.org/projects/nutria-neotropical;https://www.inaturalist.org/projects/procer-especies-prioritarias-pace;https://www.inaturalist.org/projects/presa-la-vega-jalisco	false	LATIN_AMERICA	LATIN_AMERICA	MEX	México	MEX.14_1	Jalisco	MEX.14.78_2	San Martín Hidalgo			
859472799	http://www.vertnet.org/resources/norms.html		en	CC0_1_0	2013-08-07T00:00:00Z				PhysicalObject	urn:lsid:biocol.org:col:34925			AMNH	Mammals			PRESERVED_SPECIMEN				urn:catalog:AMNH:Mammals:M-25050	M-25050		J. H. Batty		1			Indeterminate						native				PRESENT																							1904-01-01		1	1	1904	1	1	1904-01-01										North America;Mexico;Sinaloa;;;;;	NORTH_AMERICA				MX	Sinaloa				North America; Mexico; Sinaloa; ; ; ; ; ; ; ;																																																											Lontra longicaudis annectens (Major, 1897)							Animalia;Chordata;Mammalia;Carnivora;Mustelidae;Lontra	Animalia	Chordata	Mammalia	Carnivora		Mustelidae				Lontra	Lontra			longicaudis	annectens		SUBSPECIES			ICZN	ACCEPTED			96ca66b4-f762-11e1-a439-00145eb45e9a	US	2025-11-24T18:26:20.741Z										false	false	6163971	6163971	1	44	359	732	5307	2433726		2433738	Lontra longicaudis	Lontra longicaudis annectens (Major, 1897)	Lontra longicaudis annectens		EML	2025-11-24T18:26:20.741Z	2025-11-17T12:33:22.887Z		true			false	LATIN_AMERICA	NORTH_AMERICA									
859357979	http://www.vertnet.org/resources/norms.html		en	CC0_1_0	2013-08-07T00:00:00Z				PhysicalObject	urn:lsid:biocol.org:col:34925			AMNH	Mammals			PRESERVED_SPECIMEN				urn:catalog:AMNH:Mammals:MO-6678	MO-6678				1			Male						native				PRESENT	Skull, Cranium and Mandible, Not Mounted																						1893-11				1893	11		1893-11-										North America;Mexico;Jalisco;Mascota;;;;	NORTH_AMERICA				MX	Jalisco	Mascota		Mineral San Sebastian	North America; Mexico; Jalisco; Mascota; ; ; ; ; ; ; North America; Mexico; Jalisco; Mascota; ; ; ; ; ; ; Mineral San Sebastian																																																											Lontra longicaudis annectens (Major, 1897)							Animalia;Chordata;Mammalia;Carnivora;Mustelidae;Lontra	Animalia	Chordata	Mammalia	Carnivora		Mustelidae				Lontra	Lontra			longicaudis	annectens		SUBSPECIES			ICZN	ACCEPTED			96ca66b4-f762-11e1-a439-00145eb45e9a	US	2025-11-24T18:26:20.131Z										false	false	6163971	6163971	1	44	359	732	5307	2433726		2433738	Lontra longicaudis	Lontra longicaudis annectens (Major, 1897)	Lontra longicaudis annectens		EML	2025-11-24T18:26:20.131Z	2025-11-17T12:33:22.887Z		true			false	LATIN_AMERICA	NORTH_AMERICA									
859356254	http://www.vertnet.org/resources/norms.html		en	CC0_1_0	2013-08-07T00:00:00Z				PhysicalObject	urn:lsid:biocol.org:col:34925			AMNH	Mammals			PRESERVED_SPECIMEN				urn:catalog:AMNH:Mammals:MO-6274	MO-6274				1			Female						native				PRESENT	Skin, Skull, Whole Skin, Cranium and Mandible, Round Skin, Not Mounted						Skin Number: Osteo Catalog 7930																1892-09-04		248	248	1892	9	4	1892-09-04										North America;Mexico;Jalisco;Guadalajara;;;;	NORTH_AMERICA				MX	Jalisco	Guadalajara		Hacienda Artequiza	North America; Mexico; Jalisco; Guadalajara; ; ; ; ; ; ; North America; Mexico; Jalisco; Guadalajara; ; ; ; ; ; ; Hacienda Artequiza																																																											Lontra longicaudis annectens (Major, 1897)							Animalia;Chordata;Mammalia;Carnivora;Mustelidae;Lontra	Animalia	Chordata	Mammalia	Carnivora		Mustelidae				Lontra	Lontra			longicaudis	annectens		SUBSPECIES			ICZN	ACCEPTED			96ca66b4-f762-11e1-a439-00145eb45e9a	US	2025-11-24T18:26:19.714Z										false	false	6163971	6163971	1	44	359	732	5307	2433726		2433738	Lontra longicaudis	Lontra longicaudis annectens (Major, 1897)	Lontra longicaudis annectens		EML	2025-11-24T18:26:19.714Z	2025-11-17T12:33:22.887Z		true			false	LATIN_AMERICA	NORTH_AMERICA									
859322277	http://www.vertnet.org/resources/norms.html		en	CC0_1_0	2013-08-07T00:00:00Z				PhysicalObject	urn:lsid:biocol.org:col:34925			AMNH	Mammals			PRESERVED_SPECIMEN				urn:catalog:AMNH:Mammals:MS-7930	MS-7930		A. C. Buller		1			Indeterminate						native				PRESENT	Not Mounted						Osteo: Skin Catalog 6274																1893-09-04		247	247	1893	9	4	1893-09-04										North America;Mexico;Jalisco;Guadalajara;;;;	NORTH_AMERICA				MX	Jalisco	Guadalajara		Hacienda Artequiza	North America; Mexico; Jalisco; Guadalajara; ; ; ; ; ; ; North America; Mexico; Jalisco; Guadalajara; ; ; ; ; ; ; Hacienda Artequiza																																																											Lontra longicaudis annectens (Major, 1897)							Animalia;Chordata;Mammalia;Carnivora;Mustelidae;Lontra	Animalia	Chordata	Mammalia	Carnivora		Mustelidae				Lontra	Lontra			longicaudis	annectens		SUBSPECIES			ICZN	ACCEPTED			96ca66b4-f762-11e1-a439-00145eb45e9a	US	2025-11-24T18:26:19.976Z										false	false	6163971	6163971	1	44	359	732	5307	2433726		2433738	Lontra longicaudis	Lontra longicaudis annectens (Major, 1897)	Lontra longicaudis annectens		EML	2025-11-24T18:26:19.976Z	2025-11-17T12:33:22.887Z		true			false	LATIN_AMERICA	NORTH_AMERICA									
686440634	http://biodiversity.ku.edu/research/university-kansas-biodiversity-institute-data-publication-and-use-norms			CC_BY_4_0	2010-01-14T10:30:33Z					http://grbio.org/cool/iakn-125z			KU	KUM	University of Kansas Biodiversity Institute Mammalogy Collection		PRESERVED_SPECIMEN				8df64394-1ed8-11e3-bfac-90b11c41863e	111978		CLIFTON P L					Indeterminate										PRESENT	Skin Complete; false;  Skull Complete; false																						1967-04-20		110	110	1967	4	20												NORTH_AMERICA				MX	Jalisco			PIHUAMO, 20 MI S, 5 MI W OF									18.9622558	-103.4559631				decimal degrees					Slade, Norman	2008-12-11		Google Earth																																						Lontra longicaudis annectens (Major, 1897)								Animalia	Chordata	Mammalia	Carnivora		Mustelidae				Lontra	Lontra			longicaudis	annectens		SUBSPECIES				ACCEPTED			1d04e739-98a9-4e16-9970-8f8f3bf9e9e3	US	2025-12-01T19:59:09.468Z						COORDINATE_REPROJECTED				true	false	6163971	6163971	1	44	359	732	5307	2433726		2433738	Lontra longicaudis	Lontra longicaudis annectens (Major, 1897)	Lontra longicaudis annectens		EML	2025-12-01T19:59:09.468Z	2025-12-01T19:52:31.460Z		true			false	LATIN_AMERICA	NORTH_AMERICA	MEX	México	MEX.16_1	Michoacán	MEX.16.19_2	Chinicuila			
